Payer,Service,Age Group,Gender,2002,2004,2006,2008,2010,2012
Other Payers and Programs,Hospital Care,65-84,Females,4735,6307,6683,6213,7415,8661
Other Payers and Programs,Hospital Care,85+,Females,1842,2081,2332,2473,2668,2765
Out-of-Pocket,Hospital Care,Total,Total,15316,18315,21088,23651,27151,31233
Out-of-Pocket,Hospital Care,0-18,Total,1839,2314,2821,3047,3454,4069
Out-of-Pocket,Hospital Care,19-44,Total,4499,5477,6393,7097,8001,9748
Out-of-Pocket,Hospital Care,45-64,Total,5329,6237,6846,7553,8817,9632
Out-of-Pocket,Hospital Care,65-84,Total,3143,3667,4335,5115,5893,6626
Out-of-Pocket,Hospital Care,85+,Total,506,620,692,839,987,1158
Out-of-Pocket,Hospital Care,Total,Males,6314,7747,8990,9990,11396,13023
Out-of-Pocket,Hospital Care,0-18,Males,980,1218,1504,1600,1818,2133
Out-of-Pocket,Hospital Care,19-44,Males,1335,1675,1991,2186,2403,3048
Out-of-Pocket,Hospital Care,45-64,Males,2300,2846,3146,3466,3963,4338
Out-of-Pocket,Hospital Care,65-84,Males,1518,1791,2095,2431,2847,3056
Out-of-Pocket,Hospital Care,85+,Males,181,217,253,307,364,448
Out-of-Pocket,Hospital Care,Total,Females,9002,10568,12098,13661,15755,18210
Out-of-Pocket,Hospital Care,0-18,Females,858,1096,1317,1446,1635,1936
Out-of-Pocket,Hospital Care,19-44,Females,3164,3802,4402,4911,5598,6700
Out-of-Pocket,Hospital Care,45-64,Females,3028,3391,3700,4087,4854,5294
Out-of-Pocket,Hospital Care,65-84,Females,1626,1876,2241,2684,3046,3570
Out-of-Pocket,Hospital Care,85+,Females,325,403,438,533,622,710
Private health Insurance,Hospital Care,Total,Total,169238,199583,235561,265974,298618,340604
Private health Insurance,Hospital Care,0-18,Total,17818,21670,27507,30943,34709,39195
Private health Insurance,Hospital Care,19-44,Total,44154,52577,63017,71329,77797,90842
Private health Insurance,Hospital Care,45-64,Total,86308,101171,117511,131712,150734,168708
Private health Insurance,Hospital Care,65-84,Total,18009,20819,23611,27612,30434,36404
Private health Insurance,Hospital Care,85+,Total,2949,3346,3915,4379,4944,5456
Private health Insurance,Hospital Care,Total,Males,74727,88692,105416,118152,132387,150645
Private health Insurance,Hospital Care,0-18,Males,9571,11775,14692,16482,18643,20904
Private health Insurance,Hospital Care,19-44,Males,13739,16350,20341,22800,24792,29778
Private health Insurance,Hospital Care,45-64,Males,41311,48555,56287,62754,71099,79484
Private health Insurance,Hospital Care,65-84,Males,9098,10908,12832,14665,16189,18542
Private health Insurance,Hospital Care,85+,Males,1009,1105,1265,1450,1663,1937
Private health Insurance,Hospital Care,Total,Females,94511,110891,130145,147823,166231,189959
Private health Insurance,Hospital Care,0-18,Females,8247,9895,12816,14460,16066,18290
Private health Insurance,Hospital Care,19-44,Females,30415,36228,42676,48529,53005,61064
Private health Insurance,Hospital Care,45-64,Females,44998,52616,61225,68958,79635,89224
Private health Insurance,Hospital Care,65-84,Females,8911,9911,10779,12946,14245,17862
Private health Insurance,Hospital Care,85+,Females,1941,2241,2649,2929,3281,3519
Total,Hospital Care,Total,Total,486479,565378,651220,727632,817620,902676
Total,Hospital Care,0-18,Total,58937,71292,84910,94223,106445,114414
Total,Hospital Care,19-44,Total,104285,121632,140453,155889,173508,195854
Total,Hospital Care,45-64,Total,149807,176975,209037,237371,276897,308937
Total,Hospital Care,65-84,Total,142024,160401,176011,193321,209873,228897
Total,Hospital Care,85+,Total,31426,35077,40808,46828,50897,54575
Total,Hospital Care,Total,Males,220186,256221,296519,330963,374240,414015
Total,Hospital Care,0-18,Males,31410,38010,45018,49942,56346,60626
Total,Hospital Care,19-44,Males,36204,41660,48364,53313,59847,67878
Total,Hospital Care,45-64,Males,75211,88851,104816,118484,138008,155458
Total,Hospital Care,65-84,Males,67548,76656,85110,93540,102676,110972
Total,Hospital Care,85+,Males,9812,11044,13211,15685,17363,19081
Total,Hospital Care,Total,Females,266293,309156,354701,396669,443379,488661
Total,Hospital Care,0-18,Females,27527,33282,39892,44281,50099,53788
Total,Hospital Care,19-44,Females,68081,79972,92090,102576,113661,127976
Total,Hospital Care,45-64,Females,74595,88124,104221,118887,138889,153479
Total,Hospital Care,65-84,Females,74476,83745,90901,99781,107198,117925
Total,Hospital Care,85+,Females,21614,24033,27598,31143,33533,35493
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,35561,39760,41563,44039,46305,47625
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,321,390,445,493,593,669
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,1440,1574,1613,1610,1670,1677
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,4396,5495,6288,7110,7941,8284
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,15177,16823,17158,17995,18468,19050
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,14228,15478,16059,16831,17633,17945
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,10519,12047,12962,14087,15207,15933
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,188,222,245,274,327,370
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,849,916,926,922,937,925
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,2278,2872,3309,3770,4246,4447
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,4966,5581,5863,6316,6699,7074
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,2238,2455,2619,2805,2999,3117
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,25042,27713,28601,29952,31098,31692
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,132,168,200,219,266,299
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,591,658,687,688,732,752
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,2118,2623,2979,3340,3695,3837
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,10210,11241,11295,11679,11770,11976
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,11990,13023,13440,14026,14635,14828
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,15026,18260,22358,27606,32356,33994
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,0,0,0,0,0,0
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,117,145,209,237,279,314
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,770,1066,1524,2057,2700,3109
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,8850,10644,12773,15536,18033,19008
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,5289,6405,7852,9776,11344,11563
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,5090,6237,7836,9885,11909,12871
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,0,0,0,0,0,0
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,70,84,120,133,153,168
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,389,537,767,1030,1355,1576
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,3284,3957,4834,6008,7165,7727
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,1347,1659,2114,2714,3235,3399
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,9936,12024,14523,17721,20447,21123
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,0,0,0,0,0,0
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,47,61,89,104,125,145
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,381,530,757,1027,1345,1533
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,5566,6687,7939,9527,10868,11281
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,3942,4747,5737,7062,8109,8164
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,7845,9176,10541,12168,13706,14695
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,77,71,74,67,79,102
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,186,230,230,255,281,309
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,860,1107,1374,1637,1941,2126
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,3590,3993,4505,5313,5870,6086
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,3133,3775,4357,4896,5534,6072
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,2428,2905,3438,4073,4726,5189
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,43,49,44,38,44,62
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,114,137,129,143,155,170
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,444,579,725,862,1027,1122
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,1217,1416,1721,1935,2208,2353
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,610,724,819,1094,1293,1483
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,5417,6271,7103,8095,8979,9506
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,34,23,30,29,35,40
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,72,93,101,112,126,139
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,416,528,650,774,914,1005
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,2372,2577,2784,3378,3662,3733
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,2523,3051,3539,3802,4242,4589
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,27900,31437,34258,38208,37743,40142
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,235,258,271,290,272,272
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,738,804,837,888,840,859
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,3613,4200,4648,5159,5023,5138
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,12749,14179,15110,16690,16337,17578
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,10566,11997,13392,15182,15270,16294
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,10325,11775,12944,14564,14405,15453
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,152,167,175,187,176,176
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,464,505,525,557,525,538
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,2093,2434,2695,2992,2899,2964
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,5186,5824,6270,7000,6873,7464
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,2430,2845,3280,3828,3933,4311
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,17575,19663,21313,23645,23337,24689
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,83,91,96,102,96,96
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,274,299,312,331,315,321
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,1520,1766,1953,2167,2124,2173
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,7562,8354,8840,9690,9464,10114
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,8136,9152,10112,11354,11338,11983
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,8168,6801,8150,9497,10795,11855
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,35,29,28,32,24,40
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,137,131,150,175,153,200
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,955,909,1195,1312,1417,1858
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,4485,3260,3840,4615,4653,4445
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,2556,2472,2936,3363,4547,5312
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,2513,2336,2708,3202,3348,4081
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,20,17,16,20,15,27
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,87,81,94,105,94,105
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,493,476,657,685,739,999
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,1482,1297,1389,1568,1599,1657
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,432,465,553,825,900,1293
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,5655,4465,5442,6296,7446,7773
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,15,12,12,13,9,12
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,50,50,57,70,59,95
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,462,433,538,627,677,859
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,3003,1963,2451,3047,3054,2788
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,2125,2007,2383,2539,3647,4019
Total,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,94500,105434,116870,131518,140903,148311
Total,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,667,748,818,882,968,1083
Total,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,2618,2884,3040,3165,3223,3359
Total,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,10593,12777,15030,17275,19021,20515
Total,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,44850,48897,53386,60149,63362,66167
Total,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,35772,40128,44596,50049,54329,57187
Total,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,30875,35299,39888,45811,49596,53528
Total,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,403,455,480,519,562,635
Total,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,1583,1723,1794,1860,1865,1906
Total,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,5695,6897,8152,9338,10266,11108
Total,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,16136,18075,20077,22827,24544,26275
Total,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,7057,8148,9385,11266,12359,13604
Total,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,63626,70136,76981,85708,91307,94783
Total,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,264,293,339,362,406,448
Total,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,1035,1161,1245,1305,1358,1453
Total,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,4898,5880,6877,7936,8756,9407
Total,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,28714,30822,33309,37322,38818,39892
Total,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,28715,31979,35211,38783,41970,43583
Medicaid,Other Health Residential and Personal Care,Total,Total,40193,46823,53287,59981,69573,75604
Medicaid,Other Health Residential and Personal Care,0-18,Total,5533,5765,6934,7991,8945,8854
Medicaid,Other Health Residential and Personal Care,19-44,Total,16192,18845,19869,21578,24688,26646
Medicaid,Other Health Residential and Personal Care,45-64,Total,11233,14258,16551,19043,23613,24674
Medicaid,Other Health Residential and Personal Care,65-84,Total,5534,6110,7483,8632,9542,11671
Medicaid,Other Health Residential and Personal Care,85+,Total,1701,1844,2450,2737,2785,3759
Medicaid,Other Health Residential and Personal Care,Total,Males,20977,24771,27623,31123,37045,39248
Medicaid,Other Health Residential and Personal Care,0-18,Males,3403,3547,4220,4899,5476,5449
Medicaid,Other Health Residential and Personal Care,19-44,Males,9503,11135,11685,12637,14521,15683
Medicaid,Other Health Residential and Personal Care,45-64,Males,5927,7648,8773,10112,12899,13199
Medicaid,Other Health Residential and Personal Care,65-84,Males,1838,2119,2526,2984,3601,4209
Medicaid,Other Health Residential and Personal Care,85+,Males,306,323,419,491,549,707
Medicaid,Other Health Residential and Personal Care,Total,Females,19216,22052,25664,28857,32528,36356
Medicaid,Other Health Residential and Personal Care,0-18,Females,2130,2219,2715,3092,3470,3405
Medicaid,Other Health Residential and Personal Care,19-44,Females,6689,7711,8184,8941,10167,10963
Medicaid,Other Health Residential and Personal Care,45-64,Females,5306,6610,7778,8931,10714,11475
Medicaid,Other Health Residential and Personal Care,65-84,Females,3696,3991,4957,5648,5942,7462
Medicaid,Other Health Residential and Personal Care,85+,Females,1394,1521,2031,2245,2236,3052
Medicare,Other Health Residential and Personal Care,Total,Total,2368,3041,3711,4225,4775,5086
Medicare,Other Health Residential and Personal Care,0-18,Total,1,1,1,1,1,1
Medicare,Other Health Residential and Personal Care,19-44,Total,101,140,177,206,239,257
Medicare,Other Health Residential and Personal Care,45-64,Total,300,444,606,738,887,966
Medicare,Other Health Residential and Personal Care,65-84,Total,1407,1774,2090,2309,2555,2713
Medicare,Other Health Residential and Personal Care,85+,Total,560,682,837,971,1094,1148
Medicare,Other Health Residential and Personal Care,Total,Males,966,1264,1569,1802,2056,2207
Medicare,Other Health Residential and Personal Care,0-18,Males,0,0,0,0,0,0
Medicare,Other Health Residential and Personal Care,19-44,Males,58,78,97,110,127,132
Medicare,Other Health Residential and Personal Care,45-64,Males,160,238,321,389,465,508
Medicare,Other Health Residential and Personal Care,65-84,Males,590,749,897,1001,1118,1195
Medicare,Other Health Residential and Personal Care,85+,Males,157,198,253,302,347,371
Medicare,Other Health Residential and Personal Care,Total,Females,1403,1778,2141,2423,2719,2878
Medicare,Other Health Residential and Personal Care,0-18,Females,0,0,0,0,0,0
Medicare,Other Health Residential and Personal Care,19-44,Females,43,62,80,96,112,125
Medicare,Other Health Residential and Personal Care,45-64,Females,140,206,284,349,422,458
Medicare,Other Health Residential and Personal Care,65-84,Females,816,1025,1193,1308,1437,1518
Medicare,Other Health Residential and Personal Care,85+,Females,403,484,584,669,747,776
Other Payers and Programs,Other Health Residential and Personal Care,Total,Total,26071,29381,32751,37771,40417,41299
Other Payers and Programs,Other Health Residential and Personal Care,0-18,Total,6315,7238,8074,8982,9549,9908
Other Payers and Programs,Other Health Residential and Personal Care,19-44,Total,8695,9348,10198,11255,12177,13113
Other Payers and Programs,Other Health Residential and Personal Care,45-64,Total,7176,8198,8938,11843,11681,11404
Other Payers and Programs,Other Health Residential and Personal Care,65-84,Total,2829,3296,3594,3601,4789,4539
Other Payers and Programs,Other Health Residential and Personal Care,85+,Total,1056,1301,1948,2089,2221,2336
Other Payers and Programs,Other Health Residential and Personal Care,Total,Males,12141,14061,15554,18526,19421,20387
Other Payers and Programs,Other Health Residential and Personal Care,0-18,Males,3152,3654,4080,4624,4907,5435
Other Payers and Programs,Other Health Residential and Personal Care,19-44,Males,3592,4013,4378,4952,5390,6100
Other Payers and Programs,Other Health Residential and Personal Care,45-64,Males,3558,4099,4469,6321,6006,5699
Other Payers and Programs,Other Health Residential and Personal Care,65-84,Males,1336,1512,1649,1600,1998,1958
Other Payers and Programs,Other Health Residential and Personal Care,85+,Males,502,783,979,1030,1120,1195
Other Payers and Programs,Other Health Residential and Personal Care,Total,Females,13931,15320,17197,19245,20995,20913
Other Payers and Programs,Other Health Residential and Personal Care,0-18,Females,3164,3585,3994,4358,4642,4473
Other Payers and Programs,Other Health Residential and Personal Care,19-44,Females,5103,5335,5820,6304,6787,7013
Other Payers and Programs,Other Health Residential and Personal Care,45-64,Females,3618,4099,4469,5522,5675,5705
Other Payers and Programs,Other Health Residential and Personal Care,65-84,Females,1492,1784,1945,2001,2791,2581
Other Payers and Programs,Other Health Residential and Personal Care,85+,Females,554,517,969,1059,1100,1141
Out-of-Pocket,Other Health Residential and Personal Care,Total,Total,3560,4222,4636,4792,5103,5338
Out-of-Pocket,Other Health Residential and Personal Care,0-18,Total,396,493,590,508,544,547
Out-of-Pocket,Other Health Residential and Personal Care,19-44,Total,901,1099,1032,1122,1259,1352
Out-of-Pocket,Other Health Residential and Personal Care,45-64,Total,1597,1827,1900,1970,2053,2173
Out-of-Pocket,Other Health Residential and Personal Care,65-84,Total,587,675,934,982,1027,1039
Out-of-Pocket,Other Health Residential and Personal Care,85+,Total,79,129,181,210,220,227
Out-of-Pocket,Other Health Residential and Personal Care,Total,Males,1874,2251,2493,2507,2613,2739
Out-of-Pocket,Other Health Residential and Personal Care,0-18,Males,255,318,380,327,351,353
Out-of-Pocket,Other Health Residential and Personal Care,19-44,Males,490,629,603,607,672,757
Out-of-Pocket,Other Health Residential and Personal Care,45-64,Males,860,990,1043,1081,1076,1110
Out-of-Pocket,Other Health Residential and Personal Care,65-84,Males,232,267,399,421,440,444
Out-of-Pocket,Other Health Residential and Personal Care,85+,Males,36,47,68,70,73,76
Out-of-Pocket,Other Health Residential and Personal Care,Total,Females,1687,1971,2143,2285,2490,2599
Out-of-Pocket,Other Health Residential and Personal Care,0-18,Females,141,175,209,180,193,194
Out-of-Pocket,Other Health Residential and Personal Care,19-44,Females,411,470,429,515,587,595
Out-of-Pocket,Other Health Residential and Personal Care,45-64,Females,737,836,857,889,977,1063
Out-of-Pocket,Other Health Residential and Personal Care,65-84,Females,355,408,534,561,587,595
Out-of-Pocket,Other Health Residential and Personal Care,85+,Females,43,81,113,140,147,151
Private health Insurance,Other Health Residential and Personal Care,Total,Total,4517,5877,6701,7756,9140,10611
Private health Insurance,Other Health Residential and Personal Care,0-18,Total,502,699,791,894,1038,1161
Private health Insurance,Other Health Residential and Personal Care,19-44,Total,1064,1394,1498,1838,2238,2667
Private health Insurance,Other Health Residential and Personal Care,45-64,Total,1886,2409,2729,3069,3648,4286
Private health Insurance,Other Health Residential and Personal Care,65-84,Total,939,1205,1410,1610,1825,2050
Private health Insurance,Other Health Residential and Personal Care,85+,Total,126,169,273,345,391,448
Private health Insurance,Other Health Residential and Personal Care,Total,Males,2338,3071,3464,3949,4642,5403
Private health Insurance,Other Health Residential and Personal Care,0-18,Males,302,419,475,537,623,697
Private health Insurance,Other Health Residential and Personal Care,19-44,Males,578,774,850,995,1195,1493
Private health Insurance,Other Health Residential and Personal Care,45-64,Males,1016,1306,1434,1612,1912,2189
Private health Insurance,Other Health Residential and Personal Care,65-84,Males,397,510,603,690,782,876
Private health Insurance,Other Health Residential and Personal Care,85+,Males,45,62,102,115,130,149
Private health Insurance,Other Health Residential and Personal Care,Total,Females,2180,2806,3237,3807,4497,5208
Private health Insurance,Other Health Residential and Personal Care,0-18,Females,201,279,316,357,415,464
Private health Insurance,Other Health Residential and Personal Care,19-44,Females,486,621,648,843,1043,1174
Private health Insurance,Other Health Residential and Personal Care,45-64,Females,870,1103,1295,1456,1736,2097
Private health Insurance,Other Health Residential and Personal Care,65-84,Females,542,696,807,920,1043,1174
Private health Insurance,Other Health Residential and Personal Care,85+,Females,81,107,170,230,261,299
Total,Other Health Residential and Personal Care,Total,Total,76710,89344,101086,114525,129007,137938
Total,Other Health Residential and Personal Care,0-18,Total,12747,14196,16390,18376,20077,20471
Total,Other Health Residential and Personal Care,19-44,Total,26953,30827,32773,35999,40601,44036
Total,Other Health Residential and Personal Care,45-64,Total,22192,27136,30725,36663,41881,43502
Total,Other Health Residential and Personal Care,65-84,Total,11295,13060,15510,17135,19739,22011
Total,Other Health Residential and Personal Care,85+,Total,3522,4125,5688,6352,6710,7918
Total,Other Health Residential and Personal Care,Total,Males,38294,45418,50704,57907,65777,69984
Total,Other Health Residential and Personal Care,0-18,Males,7112,7938,9155,10387,11357,11934
Total,Other Health Residential and Personal Care,19-44,Males,14221,16628,17613,19301,21904,24165
Total,Other Health Residential and Personal Care,45-64,Males,11521,14282,16040,19515,22357,22704
Total,Other Health Residential and Personal Care,65-84,Males,4394,5156,6074,6696,7939,8681
Total,Other Health Residential and Personal Care,85+,Males,1047,1414,1821,2009,2220,2499
Total,Other Health Residential and Personal Care,Total,Females,38416,43926,50382,56618,63230,67954
Total,Other Health Residential and Personal Care,0-18,Females,5635,6258,7234,7989,8720,8537
Total,Other Health Residential and Personal Care,19-44,Females,12732,14199,15160,16698,18696,19870
Total,Other Health Residential and Personal Care,45-64,Females,10671,12855,14684,17148,19523,20798
Total,Other Health Residential and Personal Care,65-84,Females,6902,7904,9437,10439,11800,13330
Total,Other Health Residential and Personal Care,85+,Females,2476,2711,3867,4344,4490,5419
Medicare,Other Nondurable Medical Products,Total,Total,1678,2025,2297,2717,3010,3270
Medicare,Other Nondurable Medical Products,0-18,Total,1,2,3,3,3,2
Medicare,Other Nondurable Medical Products,19-44,Total,104,127,142,166,192,211
Medicare,Other Nondurable Medical Products,45-64,Total,270,369,446,562,649,713
Medicare,Other Nondurable Medical Products,65-84,Total,1062,1279,1435,1682,1837,2009
Medicare,Other Nondurable Medical Products,85+,Total,241,248,270,304,328,335
Medicare,Other Nondurable Medical Products,Total,Males,687,858,1001,1200,1365,1534
Medicare,Other Nondurable Medical Products,0-18,Males,1,1,2,2,2,1
Medicare,Other Nondurable Medical Products,19-44,Males,61,72,80,91,106,117
Medicare,Other Nondurable Medical Products,45-64,Males,131,178,213,263,304,341
Medicare,Other Nondurable Medical Products,65-84,Males,437,541,630,753,843,957
Medicare,Other Nondurable Medical Products,85+,Males,57,65,76,92,110,119
Medicare,Other Nondurable Medical Products,Total,Females,991,1167,1296,1517,1645,1736
Medicare,Other Nondurable Medical Products,0-18,Females,1,1,1,1,1,1
Medicare,Other Nondurable Medical Products,19-44,Females,43,54,62,75,86,94
Medicare,Other Nondurable Medical Products,45-64,Females,139,191,232,299,346,373
Medicare,Other Nondurable Medical Products,65-84,Females,625,738,805,929,994,1052
Medicare,Other Nondurable Medical Products,85+,Females,184,183,195,213,218,217
Other Payers and Programs,Other Nondurable Medical Products,Total,Total,0,0,0,0,0,2
Other Payers and Programs,Other Nondurable Medical Products,0-18,Total,0,0,0,0,0,0
Other Payers and Programs,Other Nondurable Medical Products,19-44,Total,0,0,0,0,0,0
Other Payers and Programs,Other Nondurable Medical Products,45-64,Total,0,0,0,0,0,1
Other Payers and Programs,Other Nondurable Medical Products,65-84,Total,0,0,0,0,0,1
Other Payers and Programs,Other Nondurable Medical Products,85+,Total,0,0,0,0,0,0
Other Payers and Programs,Other Nondurable Medical Products,Total,Males,0,0,0,0,0,1
Other Payers and Programs,Other Nondurable Medical Products,0-18,Males,0,0,0,0,0,0
Other Payers and Programs,Other Nondurable Medical Products,19-44,Males,0,0,0,0,0,0
Other Payers and Programs,Other Nondurable Medical Products,45-64,Males,0,0,0,0,0,0
Other Payers and Programs,Other Nondurable Medical Products,65-84,Males,0,0,0,0,0,0
Other Payers and Programs,Other Nondurable Medical Products,85+,Males,0,0,0,0,0,0
