National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2025 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2015 version of the NHE released in December 2016.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2016,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
Physician and Clinical Expenditures,02/15/2017,Historical,Y1961,5814,3395,1966,1691,0,0,275,452
Physician and Clinical Expenditures,02/15/2017,Historical,Y1962,6261,3594,2174,1849,0,0,325,493
Physician and Clinical Expenditures,02/15/2017,Historical,Y1963,7074,4027,2518,2138,0,0,380,529
Physician and Clinical Expenditures,02/15/2017,Historical,Y1964,8109,4637,2892,2539,0,0,353,579
Physician and Clinical Expenditures,02/15/2017,Historical,Y1965,8587,4879,3068,2754,0,0,314,641
Physician and Clinical Expenditures,02/15/2017,Historical,Y1966,9309,4843,3791,2816,443,141,390,675
Physician and Clinical Expenditures,02/15/2017,Historical,Y1967,10448,4831,4907,2892,1226,348,441,709
Physician and Clinical Expenditures,02/15/2017,Historical,Y1968,11344,5131,5484,3161,1457,429,437,730
Physician and Clinical Expenditures,02/15/2017,Historical,Y1969,12716,5775,6207,3659,1570,519,459,733
Physician and Clinical Expenditures,02/15/2017,Historical,Y1970,14331,6462,6991,4209,1643,649,489,878
Physician and Clinical Expenditures,02/15/2017,Historical,Y1971,15917,6883,8026,4775,1855,846,550,1008
Physician and Clinical Expenditures,02/15/2017,Historical,Y1972,17706,7376,9183,5436,2027,1093,627,1147
Physician and Clinical Expenditures,02/15/2017,Historical,Y1973,19559,7805,10399,6099,2271,1353,675,1355
Physician and Clinical Expenditures,02/15/2017,Historical,Y1974,22215,8458,12126,6995,2854,1539,738,1631
Physician and Clinical Expenditures,02/15/2017,Historical,Y1975,25309,9092,13976,7944,3467,1783,781,2241
Physician and Clinical Expenditures,02/15/2017,Historical,Y1976,28672,10102,16090,9311,4100,1822,857,2480
Physician and Clinical Expenditures,02/15/2017,Historical,Y1977,33112,11387,18853,11055,4980,1897,921,2872
Physician and Clinical Expenditures,02/15/2017,Historical,Y1978,35833,11644,20779,12050,5872,1991,866,3409
Physician and Clinical Expenditures,02/15/2017,Historical,Y1979,41192,12913,24191,14216,6871,2153,951,4088
Physician and Clinical Expenditures,02/15/2017,Historical,Y1980,47717,14220,28516,16625,8315,2432,1144,4981
Physician and Clinical Expenditures,02/15/2017,Historical,Y1981,55619,16159,33526,19523,9838,2839,1325,5935
Physician and Clinical Expenditures,02/15/2017,Historical,Y1982,61635,17366,37695,21671,11757,2793,1474,6574
Physician and Clinical Expenditures,02/15/2017,Historical,Y1983,68643,18642,42483,24019,13860,3092,1512,7518
Physician and Clinical Expenditures,02/15/2017,Historical,Y1984,77413,20724,47804,27556,15401,3190,1658,8884
Physician and Clinical Expenditures,02/15/2017,Historical,Y1985,90856,24268,55755,33285,17010,3521,1939,10834
Physician and Clinical Expenditures,02/15/2017,Historical,Y1986,100667,26981,61065,35387,19460,4028,2190,12620
Physician and Clinical Expenditures,02/15/2017,Historical,Y1987,112800,27953,70113,40749,22514,4477,2373,14734
Physician and Clinical Expenditures,02/15/2017,Historical,Y1988,128416,29459,81887,49822,24426,4913,2727,17070
Physician and Clinical Expenditures,02/15/2017,Historical,Y1989,142937,29753,94140,57926,27703,5600,2911,19044
Physician and Clinical Expenditures,02/15/2017,Historical,Y1990,158392,29915,107415,66617,30460,7026,3312,21062
Physician and Clinical Expenditures,02/15/2017,Historical,Y1991,175750,30517,122118,77312,32021,9113,3672,23114
Physician and Clinical Expenditures,02/15/2017,Historical,Y1992,190156,30027,134709,86150,33700,11152,3708,25420
Physician and Clinical Expenditures,02/15/2017,Historical,Y1993,201417,28999,145663,93857,35320,12683,3803,26755
Physician and Clinical Expenditures,02/15/2017,Historical,Y1994,210479,27274,155688,99250,38798,13695,3945,27517
Physician and Clinical Expenditures,02/15/2017,Historical,Y1995,220303,25654,165764,104659,42262,14788,4056,28885
Physician and Clinical Expenditures,02/15/2017,Historical,Y1996,228423,26236,172296,108044,44649,15241,4362,29891
Physician and Clinical Expenditures,02/15/2017,Historical,Y1997,239143,27545,180126,111691,47663,16309,4462,31472
Physician and Clinical Expenditures,02/15/2017,Historical,Y1998,256929,29407,191095,119359,50240,16766,4731,36426
Physician and Clinical Expenditures,02/15/2017,Historical,Y1999,270034,30322,202459,125472,53823,17477,5687,37253
Physician and Clinical Expenditures,02/15/2017,Historical,Y2000,288745,32008,220608,135877,58729,19294,6709,36129
Physician and Clinical Expenditures,02/15/2017,Historical,Y2001,313323,33502,241934,148842,63727,21431,7935,37887
Physician and Clinical Expenditures,02/15/2017,Historical,Y2002,338353,35164,264404,162704,68041,24022,9638,38785
Physician and Clinical Expenditures,02/15/2017,Historical,Y2003,365102,37317,286356,176738,73536,25185,10898,41429
Physician and Clinical Expenditures,02/15/2017,Historical,Y2004,390299,39039,306789,186414,80551,27986,11838,44471
Physician and Clinical Expenditures,02/15/2017,Historical,Y2005,414050,41827,326416,198550,85587,30072,12208,45806
Physician and Clinical Expenditures,02/15/2017,Historical,Y2006,435759,43491,344265,206721,91356,31778,14409,48004
Physician and Clinical Expenditures,02/15/2017,Historical,Y2007,458562,45554,362074,216343,95963,33524,16244,50933
Physician and Clinical Expenditures,02/15/2017,Historical,Y2008,482925,46946,383010,224854,103803,35912,18442,52969
Physician and Clinical Expenditures,02/15/2017,Historical,Y2009,498724,45456,401241,228772,112008,40164,20298,52026
Physician and Clinical Expenditures,02/15/2017,Historical,Y2010,513144,48556,410416,230247,115758,43258,21153,54173
Physician and Clinical Expenditures,02/15/2017,Historical,Y2011,536395,51345,430272,240257,122204,45184,22626,54778
Physician and Clinical Expenditures,02/15/2017,Historical,Y2012,558024,51735,446689,248043,128104,46972,23570,59599
Physician and Clinical Expenditures,02/15/2017,Historical,Y2013,569542,53318,457821,249165,132064,52012,24581,58403
Physician and Clinical Expenditures,02/15/2017,Historical,Y2014,597137,54038,483369,255581,137923,63600,26265,59731
Physician and Clinical Expenditures,02/15/2017,Historical,Y2015,634919,56618,514733,272269,144310,69697,28457,63567
Physician and Clinical Expenditures,02/15/2017,Projected,Y2016,677053,60606,548545,293981,149980,74297,30287,67902
Physician and Clinical Expenditures,02/15/2017,Projected,Y2017,717010,63917,581237,312375,157887,78324,32651,71855
Physician and Clinical Expenditures,02/15/2017,Projected,Y2018,758770,66919,616169,330431,168163,83236,34339,75682
Physician and Clinical Expenditures,02/15/2017,Projected,Y2019,804138,70176,654369,347673,181331,88993,36372,79593
Physician and Clinical Expenditures,02/15/2017,Projected,Y2020,849624,74491,691474,362604,195200,94993,38677,83658
Physician and Clinical Expenditures,02/15/2017,Projected,Y2021,897942,78363,731663,379820,209420,101267,41156,87916
Physician and Clinical Expenditures,02/15/2017,Projected,Y2022,948258,82335,773730,397367,224929,107909,43525,92194
Physician and Clinical Expenditures,02/15/2017,Projected,Y2023,1001556,86525,818436,415547,242146,114951,45791,96595
Physician and Clinical Expenditures,02/15/2017,Projected,Y2024,1055851,91002,863712,434243,259127,122420,47921,101137
Physician and Clinical Expenditures,02/15/2017,Projected,Y2025,1110621,95682,909166,452824,275876,130378,50087,105773
Dental Services Expenditures,02/15/2017,Historical,Y1960,1987,1907,64,38,0,0,26,16
Dental Services Expenditures,02/15/2017,Historical,Y1961,2103,2018,64,37,0,0,27,21
Dental Services Expenditures,02/15/2017,Historical,Y1962,2224,2135,66,38,0,0,28,23
Dental Services Expenditures,02/15/2017,Historical,Y1963,2371,2275,71,41,0,0,30,25
Dental Services Expenditures,02/15/2017,Historical,Y1964,2616,2516,71,43,0,0,28,30
Dental Services Expenditures,02/15/2017,Historical,Y1965,2818,2704,81,55,0,0,27,32
Dental Services Expenditures,02/15/2017,Historical,Y1966,2992,2827,146,68,0,43,35,19
Dental Services Expenditures,02/15/2017,Historical,Y1967,3446,3150,284,104,0,138,42,12
Dental Services Expenditures,02/15/2017,Historical,Y1968,3704,3322,362,113,0,201,47,20
Dental Services Expenditures,02/15/2017,Historical,Y1969,4216,3789,403,180,0,168,55,23
Dental Services Expenditures,02/15/2017,Historical,Y1970,4711,4241,449,212,0,162,76,21
Dental Services Expenditures,02/15/2017,Historical,Y1971,5226,4671,530,248,0,179,103,24
Dental Services Expenditures,02/15/2017,Historical,Y1972,5566,4933,604,292,0,183,129,29
Dental Services Expenditures,02/15/2017,Historical,Y1973,6379,5605,739,378,0,228,133,35
Dental Services Expenditures,02/15/2017,Historical,Y1974,7139,6129,965,550,0,295,120,45
Dental Services Expenditures,02/15/2017,Historical,Y1975,8023,6532,1433,939,0,364,130,58
Dental Services Expenditures,02/15/2017,Historical,Y1976,9042,6963,2009,1486,0,390,132,70
Dental Services Expenditures,02/15/2017,Historical,Y1977,10129,7584,2459,1909,0,424,126,86
Dental Services Expenditures,02/15/2017,Historical,Y1978,11039,7918,3026,2502,0,392,132,94
Dental Services Expenditures,02/15/2017,Historical,Y1979,11984,8237,3647,3070,0,440,137,101
Dental Services Expenditures,02/15/2017,Historical,Y1980,13320,8764,4443,3781,0,503,159,113
Dental Services Expenditures,02/15/2017,Historical,Y1981,15706,10019,5545,4792,0,581,173,142
Dental Services Expenditures,02/15/2017,Historical,Y1982,16971,10496,6327,5670,0,485,172,148
Dental Services Expenditures,02/15/2017,Historical,Y1983,18290,10967,7170,6505,0,501,164,153
Dental Services Expenditures,02/15/2017,Historical,Y1984,19859,11545,8153,7526,0,456,171,161
Dental Services Expenditures,02/15/2017,Historical,Y1985,21694,12227,9280,8573,1,510,195,187
Dental Services Expenditures,02/15/2017,Historical,Y1986,23164,12658,10317,9551,1,554,211,188
Dental Services Expenditures,02/15/2017,Historical,Y1987,25322,13118,12015,11199,1,591,224,189
Dental Services Expenditures,02/15/2017,Historical,Y1988,27394,13845,13364,12511,1,617,235,185
Dental Services Expenditures,02/15/2017,Historical,Y1989,29377,14485,14700,13813,2,638,247,192
Dental Services Expenditures,02/15/2017,Historical,Y1990,31598,15255,16163,15134,2,756,271,180
Dental Services Expenditures,02/15/2017,Historical,Y1991,33397,15736,17460,16197,16,945,302,201
Dental Services Expenditures,02/15/2017,Historical,Y1992,37133,17117,19792,18271,17,1196,308,224
Dental Services Expenditures,02/15/2017,Historical,Y1993,39006,17448,21320,19295,34,1675,316,238
Dental Services Expenditures,02/15/2017,Historical,Y1994,41558,18276,23026,20931,40,1741,314,256
Dental Services Expenditures,02/15/2017,Historical,Y1995,44615,19294,25056,22875,54,1807,321,264
Dental Services Expenditures,02/15/2017,Historical,Y1996,46943,20062,26591,24329,74,1872,317,290
Dental Services Expenditures,02/15/2017,Historical,Y1997,50292,22059,27921,25536,89,1974,321,312
Dental Services Expenditures,02/15/2017,Historical,Y1998,53600,23677,29616,27025,99,2129,364,307
Dental Services Expenditures,02/15/2017,Historical,Y1999,57255,25022,31927,29189,78,2180,480,307
Dental Services Expenditures,02/15/2017,Historical,Y2000,62066,27407,34312,31241,81,2400,590,346
Dental Services Expenditures,02/15/2017,Historical,Y2001,67601,29067,38201,34283,86,3090,743,333
Dental Services Expenditures,02/15/2017,Historical,Y2002,73444,31957,41171,36428,79,3709,956,317
Dental Services Expenditures,02/15/2017,Historical,Y2003,76005,33347,42372,37246,70,4035,1022,285
Dental Services Expenditures,02/15/2017,Historical,Y2004,81749,35609,45826,40333,71,4264,1159,314
Dental Services Expenditures,02/15/2017,Historical,Y2005,86691,37775,48587,42672,86,4572,1257,329
Dental Services Expenditures,02/15/2017,Historical,Y2006,91146,39640,51155,44871,103,4782,1399,351
Dental Services Expenditures,02/15/2017,Historical,Y2007,97029,42326,54320,47276,164,5211,1669,382
Dental Services Expenditures,02/15/2017,Historical,Y2008,101939,44681,56835,48629,221,6227,1758,422
Dental Services Expenditures,02/15/2017,Historical,Y2009,102307,42561,59258,49386,296,7638,1938,488
Dental Services Expenditures,02/15/2017,Historical,Y2010,105032,43401,61094,50173,242,8401,2279,536
Dental Services Expenditures,02/15/2017,Historical,Y2011,107106,44788,61810,50608,294,8459,2449,509
Dental Services Expenditures,02/15/2017,Historical,Y2012,108771,45415,62831,51302,368,8581,2580,525
Dental Services Expenditures,02/15/2017,Historical,Y2013,110141,45653,64005,52017,478,8817,2693,483
Dental Services Expenditures,02/15/2017,Historical,Y2014,112832,46029,66334,53123,408,9929,2875,468
Dental Services Expenditures,02/15/2017,Historical,Y2015,117522,46875,70200,54692,454,11509,3545,447
Dental Services Expenditures,02/15/2017,Projected,Y2016,121917,48194,73250,56627,496,12375,3752,473
Dental Services Expenditures,02/15/2017,Projected,Y2017,128030,50150,77379,59446,536,13171,4226,501
Dental Services Expenditures,02/15/2017,Projected,Y2018,134510,52363,81621,62545,580,14015,4481,527
Dental Services Expenditures,02/15/2017,Projected,Y2019,141322,54671,86095,65753,633,15007,4702,555
Dental Services Expenditures,02/15/2017,Projected,Y2020,148594,58141,89868,68306,682,16039,4841,586
Dental Services Expenditures,02/15/2017,Projected,Y2021,155837,60920,94298,71327,739,17105,5128,619
Dental Services Expenditures,02/15/2017,Projected,Y2022,163105,63705,98747,74307,805,18230,5405,653
Dental Services Expenditures,02/15/2017,Projected,Y2023,170292,66545,103060,77090,877,19419,5674,687
Dental Services Expenditures,02/15/2017,Projected,Y2024,177622,69547,107353,79786,949,20677,5942,722
Dental Services Expenditures,02/15/2017,Projected,Y2025,185027,72635,111634,82389,1017,22013,6215,757
Other Professional Services Expenditures,02/15/2017,Historical,Y1960,392,341,8,8,0,0,0,43
Other Professional Services Expenditures,02/15/2017,Historical,Y1961,409,343,12,12,0,0,0,54
Other Professional Services Expenditures,02/15/2017,Historical,Y1962,429,351,16,16,0,0,0,62
Other Professional Services Expenditures,02/15/2017,Historical,Y1963,451,361,20,20,0,0,0,70
Other Professional Services Expenditures,02/15/2017,Historical,Y1964,486,383,25,25,0,0,0,78
Other Professional Services Expenditures,02/15/2017,Historical,Y1965,533,395,30,30,0,0,0,108
Other Professional Services Expenditures,02/15/2017,Historical,Y1966,572,389,49,34,3,11,0,134
Other Professional Services Expenditures,02/15/2017,Historical,Y1967,608,375,75,37,10,28,0,157
Other Professional Services Expenditures,02/15/2017,Historical,Y1968,644,364,84,40,13,31,0,195
Other Professional Services Expenditures,02/15/2017,Historical,Y1969,678,348,86,42,15,29,0,243
Other Professional Services Expenditures,02/15/2017,Historical,Y1970,726,324,100,43,18,40,0,301
Other Professional Services Expenditures,02/15/2017,Historical,Y1971,793,287,128,49,22,56,0,378
Other Professional Services Expenditures,02/15/2017,Historical,Y1972,893,310,161,65,27,69,0,422
Other Professional Services Expenditures,02/15/2017,Historical,Y1973,1022,393,223,99,34,90,0,406
Other Professional Services Expenditures,02/15/2017,Historical,Y1974,1163,440,286,130,47,108,0,437
Other Professional Services Expenditures,02/15/2017,Historical,Y1975,1337,643,418,219,63,136,0,276
Other Professional Services Expenditures,02/15/2017,Historical,Y1976,1564,743,513,288,74,150,0,308
Other Professional Services Expenditures,02/15/2017,Historical,Y1977,2058,1021,690,445,87,158,0,347
Other Professional Services Expenditures,02/15/2017,Historical,Y1978,2403,1200,801,550,106,144,0,402
Other Professional Services Expenditures,02/15/2017,Historical,Y1979,2847,1394,972,672,131,169,0,480
Other Professional Services Expenditures,02/15/2017,Historical,Y1980,3478,1699,1207,859,167,181,0,572
Other Professional Services Expenditures,02/15/2017,Historical,Y1981,4273,2017,1559,1133,201,225,0,697
Other Professional Services Expenditures,02/15/2017,Historical,Y1982,4917,2243,1863,1391,259,214,0,811
Other Professional Services Expenditures,02/15/2017,Historical,Y1983,5651,2470,2241,1681,332,228,0,940
Other Professional Services Expenditures,02/15/2017,Historical,Y1984,7328,3183,2986,2366,383,238,0,1158
Other Professional Services Expenditures,02/15/2017,Historical,Y1985,8113,3301,3389,2668,465,256,0,1423
Other Professional Services Expenditures,02/15/2017,Historical,Y1986,9284,3596,4016,3150,568,298,0,1672
Other Professional Services Expenditures,02/15/2017,Historical,Y1987,11329,4274,5065,4043,680,342,0,1991
Other Professional Services Expenditures,02/15/2017,Historical,Y1988,13722,5132,6270,5115,794,362,0,2319
Other Professional Services Expenditures,02/15/2017,Historical,Y1989,14499,5199,6730,5452,913,366,0,2570
Other Professional Services Expenditures,02/15/2017,Historical,Y1990,17278,6136,8339,6761,1132,445,0,2804
Other Professional Services Expenditures,02/15/2017,Historical,Y1991,18559,6287,9197,7272,1376,549,0,3075
Other Professional Services Expenditures,02/15/2017,Historical,Y1992,20860,6867,10561,8328,1639,594,0,3431
Other Professional Services Expenditures,02/15/2017,Historical,Y1993,22956,7299,11989,9273,1882,834,0,3668
Other Professional Services Expenditures,02/15/2017,Historical,Y1994,23974,7291,12852,9694,2299,859,0,3831
Other Professional Services Expenditures,02/15/2017,Historical,Y1995,26671,7797,14793,10840,2937,1016,0,4080
Other Professional Services Expenditures,02/15/2017,Historical,Y1996,28857,8090,16458,11751,3500,1207,0,4309
Other Professional Services Expenditures,02/15/2017,Historical,Y1997,31275,9098,17581,12435,3835,1311,0,4596
Other Professional Services Expenditures,02/15/2017,Historical,Y1998,33424,9765,19076,12741,5004,1324,6,4583
Other Professional Services Expenditures,02/15/2017,Historical,Y1999,34614,10446,19583,13376,4727,1438,42,4585
Other Professional Services Expenditures,02/15/2017,Historical,Y2000,36647,10934,21136,14089,5406,1585,56,4577
Other Professional Services Expenditures,02/15/2017,Historical,Y2001,40266,11637,23885,15520,6461,1829,74,4744
Other Professional Services Expenditures,02/15/2017,Historical,Y2002,43338,12355,26027,16896,6743,2268,120,4956
Other Professional Services Expenditures,02/15/2017,Historical,Y2003,46523,13063,28535,18512,7469,2442,113,4925
Other Professional Services Expenditures,02/15/2017,Historical,Y2004,50211,13834,31126,19797,8288,2935,106,5251
Other Professional Services Expenditures,02/15/2017,Historical,Y2005,52795,14190,33175,20376,9449,3229,121,5429
Other Professional Services Expenditures,02/15/2017,Historical,Y2006,55264,14820,34883,21203,10212,3295,173,5561
Other Professional Services Expenditures,02/15/2017,Historical,Y2007,60055,16190,37774,23140,10957,3524,153,6091
Other Professional Services Expenditures,02/15/2017,Historical,Y2008,64540,17216,40916,24418,12383,3951,163,6408
Other Professional Services Expenditures,02/15/2017,Historical,Y2009,67152,17352,43410,24597,13764,4874,175,6390
Other Professional Services Expenditures,02/15/2017,Historical,Y2010,69849,17982,45241,25377,14537,5160,168,6626
Other Professional Services Expenditures,02/15/2017,Historical,Y2011,72748,18637,47390,26514,15677,4994,205,6721
Other Professional Services Expenditures,02/15/2017,Historical,Y2012,76429,19430,49952,27843,16893,4989,227,7047
Other Professional Services Expenditures,02/15/2017,Historical,Y2013,78796,19845,51997,28168,18216,5359,253,6954
Other Professional Services Expenditures,02/15/2017,Historical,Y2014,82826,20651,55165,29038,19619,6258,250,7010
Other Professional Services Expenditures,02/15/2017,Historical,Y2015,87715,21772,58688,30196,21230,6973,289,7255
Other Professional Services Expenditures,02/15/2017,Projected,Y2016,91989,22821,61614,31293,22706,7319,296,7554
Other Professional Services Expenditures,02/15/2017,Projected,Y2017,97066,24030,65112,32759,24310,7688,355,7924
Other Professional Services Expenditures,02/15/2017,Projected,Y2018,102543,25276,68951,34418,26048,8107,379,8315
Other Professional Services Expenditures,02/15/2017,Projected,Y2019,108617,26550,73347,36172,28170,8607,398,8720
Other Professional Services Expenditures,02/15/2017,Projected,Y2020,115008,28016,77843,37827,30475,9132,409,9148
Other Professional Services Expenditures,02/15/2017,Projected,Y2021,121413,29426,82391,39645,32640,9673,433,9596
Other Professional Services Expenditures,02/15/2017,Projected,Y2022,128102,30889,87156,41549,34913,10238,455,10057
Other Professional Services Expenditures,02/15/2017,Projected,Y2023,135179,32407,92240,43500,37426,10836,478,10532
Other Professional Services Expenditures,02/15/2017,Projected,Y2024,142513,34001,97495,45490,40035,11468,503,11017
Other Professional Services Expenditures,02/15/2017,Projected,Y2025,149404,35647,102244,47469,42106,12141,528,11512
Home Health Care Expenditures,02/15/2017,Historical,Y1960,57,7,3,1,0,0,2,46
Home Health Care Expenditures,02/15/2017,Historical,Y1961,61,8,3,2,0,0,2,50
Home Health Care Expenditures,02/15/2017,Historical,Y1962,65,8,3,2,0,0,2,53
Home Health Care Expenditures,02/15/2017,Historical,Y1963,69,8,4,2,0,0,2,57
Home Health Care Expenditures,02/15/2017,Historical,Y1964,75,9,4,2,0,0,2,62
Home Health Care Expenditures,02/15/2017,Historical,Y1965,89,11,4,2,0,0,2,74
Home Health Care Expenditures,02/15/2017,Historical,Y1966,108,13,15,2,9,2,2,79
Home Health Care Expenditures,02/15/2017,Historical,Y1967,164,14,57,3,48,3,2,93
Home Health Care Expenditures,02/15/2017,Historical,Y1968,238,21,80,5,67,5,3,137
Home Health Care Expenditures,02/15/2017,Historical,Y1969,272,24,94,7,75,9,3,153
Home Health Care Expenditures,02/15/2017,Historical,Y1970,220,21,83,7,59,15,3,116
Home Health Care Expenditures,02/15/2017,Historical,Y1971,194,19,82,7,52,20,3,92
Home Health Care Expenditures,02/15/2017,Historical,Y1972,220,23,96,9,61,22,4,101
Home Health Care Expenditures,02/15/2017,Historical,Y1973,276,29,120,14,79,22,5,128
Home Health Care Expenditures,02/15/2017,Historical,Y1974,423,47,197,25,128,38,6,180
Home Health Care Expenditures,02/15/2017,Historical,Y1975,623,79,330,48,189,86,7,214
Home Health Care Expenditures,02/15/2017,Historical,Y1976,896,119,498,83,272,134,8,279
Home Health Care Expenditures,02/15/2017,Historical,Y1977,1147,152,643,121,352,162,9,352
Home Health Care Expenditures,02/15/2017,Historical,Y1978,1556,229,824,190,434,191,10,503
Home Health Care Expenditures,02/15/2017,Historical,Y1979,1899,283,1043,255,538,240,11,574
Home Health Care Expenditures,02/15/2017,Historical,Y1980,2378,363,1277,349,638,277,12,739
Home Health Care Expenditures,02/15/2017,Historical,Y1981,2938,437,1700,445,830,412,13,801
Home Health Care Expenditures,02/15/2017,Historical,Y1982,3482,513,2125,549,1074,488,15,844
Home Health Care Expenditures,02/15/2017,Historical,Y1983,4237,625,2642,696,1316,615,16,970
Home Health Care Expenditures,02/15/2017,Historical,Y1984,5129,769,3230,884,1554,774,17,1130
Home Health Care Expenditures,02/15/2017,Historical,Y1985,5633,885,3547,1046,1597,886,18,1201
Home Health Care Expenditures,02/15/2017,Historical,Y1986,6368,1095,3934,1324,1570,1019,21,1340
Home Health Care Expenditures,02/15/2017,Historical,Y1987,6636,1140,4199,1405,1558,1213,23,1297
Home Health Care Expenditures,02/15/2017,Historical,Y1988,8406,1641,5162,2054,1725,1358,25,1603
Home Health Care Expenditures,02/15/2017,Historical,Y1989,10213,1954,6445,2476,2188,1754,28,1814
Home Health Care Expenditures,02/15/2017,Historical,Y1990,12534,2236,8299,2860,3263,2144,32,2000
Home Health Care Expenditures,02/15/2017,Historical,Y1991,15135,2537,10442,3270,4641,2495,35,2156
Home Health Care Expenditures,02/15/2017,Historical,Y1992,18690,3004,13316,3892,6446,2939,39,2370
Home Health Care Expenditures,02/15/2017,Historical,Y1993,22748,3632,16526,4721,8305,3456,44,2590
Home Health Care Expenditures,02/15/2017,Historical,Y1994,27307,4137,20360,5386,11084,3841,48,2809
Home Health Care Expenditures,02/15/2017,Historical,Y1995,32270,5151,24037,6706,12964,4313,53,3081
Home Health Care Expenditures,02/15/2017,Historical,Y1996,35716,5955,26507,7740,14025,4676,66,3255
Home Health Care Expenditures,02/15/2017,Historical,Y1997,36885,6339,27313,8217,13850,5169,77,3233
Home Health Care Expenditures,02/15/2017,Historical,Y1998,34072,6986,23915,8848,9422,5558,87,3170
Home Health Care Expenditures,02/15/2017,Historical,Y1999,32756,6778,22611,8406,8191,5913,101,3368
Home Health Care Expenditures,02/15/2017,Historical,Y2000,32294,6201,23178,7766,8546,6756,111,2915
Home Health Care Expenditures,02/15/2017,Historical,Y2001,34271,6310,25073,6771,9900,8281,121,2888
Home Health Care Expenditures,02/15/2017,Historical,Y2002,36464,6003,27704,6531,11338,9702,133,2757
Home Health Care Expenditures,02/15/2017,Historical,Y2003,40179,5962,31469,6659,13235,11404,172,2747
Home Health Care Expenditures,02/15/2017,Historical,Y2004,44641,6138,35687,6500,15536,13471,180,2816
Home Health Care Expenditures,02/15/2017,Historical,Y2005,49343,6475,40014,6639,18208,14907,260,2855
Home Health Care Expenditures,02/15/2017,Historical,Y2006,52052,5806,43770,5530,21060,16905,275,2477
Home Health Care Expenditures,02/15/2017,Historical,Y2007,57475,5640,49347,5263,24264,19590,230,2487
Home Health Care Expenditures,02/15/2017,Historical,Y2008,62165,5729,54062,5080,27052,21646,284,2374
Home Health Care Expenditures,02/15/2017,Historical,Y2009,67296,5583,59500,4925,30281,23979,315,2214
Home Health Care Expenditures,02/15/2017,Historical,Y2010,70995,5739,63063,5048,31721,25936,357,2193
Home Health Care Expenditures,02/15/2017,Historical,Y2011,73839,6399,65145,5472,32205,27079,389,2295
Home Health Care Expenditures,02/15/2017,Historical,Y2012,77076,7096,67517,5993,33388,27735,401,2463
Home Health Care Expenditures,02/15/2017,Historical,Y2013,79965,7433,69891,7112,33689,28661,429,2641
Home Health Care Expenditures,02/15/2017,Historical,Y2014,83566,7856,73073,8166,34246,30194,467,2637
Home Health Care Expenditures,02/15/2017,Historical,Y2015,88803,8804,77268,9436,35131,32021,680,2732
Home Health Care Expenditures,02/15/2017,Projected,Y2016,94073,9263,81885,9984,36680,34382,840,2925
Home Health Care Expenditures,02/15/2017,Projected,Y2017,99900,9781,87041,10602,38861,36718,860,3077
Home Health Care Expenditures,02/15/2017,Projected,Y2018,106159,10365,92547,11357,41237,39021,933,3247
Home Health Care Expenditures,02/15/2017,Projected,Y2019,113491,10964,99103,12071,44314,41709,1009,3424
Home Health Care Expenditures,02/15/2017,Projected,Y2020,121539,11677,106235,12743,47856,44547,1090,3627
Home Health Care Expenditures,02/15/2017,Projected,Y2021,130051,12416,113790,13469,51653,47480,1188,3846
Home Health Care Expenditures,02/15/2017,Projected,Y2022,139239,13183,121978,14259,55848,50578,1293,4079
Home Health Care Expenditures,02/15/2017,Projected,Y2023,148907,14010,130570,15093,60200,53872,1404,4327
Home Health Care Expenditures,02/15/2017,Projected,Y2024,159163,14934,139636,16005,64731,57376,1523,4593
Home Health Care Expenditures,02/15/2017,Projected,Y2025,170002,15925,149203,16960,69473,61117,1654,4874
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1960,1626,1626,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1961,1764,1764,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1962,1901,1901,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1963,1944,1944,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1964,2083,2083,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1965,2211,2211,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1966,2377,2375,2,0,2,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1967,2527,2522,5,0,5,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1968,2677,2671,6,0,6,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1969,2967,2960,7,0,7,0,0,0
Non-Durable Medical Products Expenditures,02/15/2017,Historical,Y1970,3325,3316,9,0,9,0,0,0
